,ds,y,trajet_trajet_personnel,luminosite_Nuit sans éclairage public ou non allumé,luminosite_Crépuscule ou aube,type_collision_Deux véhicules – par l’arrière,type_collision_Deux véhicules - frontale,nom_dep_Bas_Rhin,nom_dep_Val_d_Oise,nom_dep_Ain,nom_dep_Yonne,region_Provence_Aples_Côte_d_Azur,vitesse_maximale_autorisee_80,heure
138,2019-05-19,16.0,172.0,26.0,11.0,46.0,35.0,2.0,0.0,6.0,3.0,21.0,49.0,15.0
139,2019-05-20,5.0,110.0,10.0,16.0,65.0,39.0,4.0,10.0,4.0,0.0,24.0,43.0,14.0
140,2019-05-21,7.0,105.0,1.0,17.0,36.0,21.0,3.0,2.0,0.0,2.0,25.0,43.0,13.0
141,2019-05-22,4.0,147.0,15.0,22.0,36.0,24.0,6.0,5.0,2.0,0.0,39.0,46.0,15.0
142,2019-05-23,8.0,125.0,16.0,16.0,42.0,19.0,1.0,2.0,2.0,1.0,32.0,39.0,15.0
143,2019-05-24,9.0,156.0,16.0,23.0,68.0,38.0,6.0,12.0,5.0,0.0,34.0,45.0,15.0
144,2019-05-25,8.0,223.0,58.0,32.0,34.0,46.0,0.0,1.0,6.0,11.0,36.0,70.0,15.0
145,2019-05-26,10.0,222.0,43.0,28.0,37.0,40.0,4.0,2.0,4.0,0.0,48.0,85.0,14.0
146,2019-05-27,5.0,120.0,11.0,14.0,58.0,17.0,0.0,6.0,2.0,4.0,22.0,41.0,15.0
147,2019-05-28,5.0,117.0,21.0,13.0,34.0,38.0,3.0,11.0,13.0,0.0,33.0,36.0,15.0
148,2019-05-29,11.0,159.0,11.0,19.0,52.0,47.0,11.0,6.0,4.0,0.0,47.0,52.0,15.0
149,2019-05-30,7.0,225.0,21.0,20.0,65.0,44.0,7.0,4.0,11.0,2.0,32.0,102.0,15.0
150,2019-05-31,5.0,196.0,16.0,13.0,61.0,46.0,1.0,1.0,4.0,0.0,56.0,72.0,15.0
151,2019-06-01,8.0,129.0,70.0,8.0,33.0,22.0,0.0,6.0,0.0,3.0,18.0,33.0,13.0
152,2019-06-02,10.0,112.0,58.0,30.0,37.0,37.0,0.0,2.0,1.0,0.0,27.0,51.0,14.0
153,2019-06-03,8.0,91.0,37.0,30.0,38.0,23.0,8.0,4.0,0.0,2.0,33.0,33.0,14.0
154,2019-06-04,7.0,204.0,46.0,24.0,35.0,37.0,2.0,2.0,1.0,0.0,24.0,74.0,14.0
155,2019-06-05,7.0,103.0,11.0,15.0,41.0,42.0,4.0,3.0,3.0,5.0,48.0,55.0,13.0
156,2019-06-06,7.0,125.0,13.0,22.0,65.0,22.0,3.0,4.0,4.0,2.0,44.0,54.0,15.0
157,2019-06-07,17.0,291.0,31.0,35.0,44.0,65.0,7.0,16.0,3.0,0.0,44.0,104.0,15.0
158,2019-06-08,7.0,130.0,32.0,15.0,46.0,30.0,9.0,1.0,3.0,0.0,31.0,45.0,14.0
159,2019-06-09,16.0,198.0,15.0,36.0,79.0,38.0,8.0,7.0,8.0,2.0,53.0,81.0,15.0
160,2019-06-10,13.0,215.0,55.0,24.0,28.0,25.0,0.0,5.0,2.0,4.0,32.0,80.0,13.0
161,2019-06-11,14.0,117.0,57.0,27.0,56.0,27.0,4.0,1.0,0.0,0.0,47.0,40.0,14.0
162,2019-06-12,17.0,173.0,100.0,35.0,77.0,36.0,2.0,9.0,8.0,4.0,32.0,55.0,15.0
163,2019-06-13,7.0,128.0,14.0,31.0,54.0,34.0,10.0,2.0,2.0,0.0,20.0,40.0,15.0
164,2019-06-14,11.0,178.0,24.0,15.0,36.0,47.0,9.0,4.0,2.0,2.0,39.0,57.0,15.0
165,2019-06-15,8.0,208.0,24.0,23.0,49.0,59.0,1.0,12.0,0.0,9.0,38.0,53.0,16.0
166,2019-06-16,10.0,333.0,45.0,22.0,53.0,60.0,4.0,7.0,13.0,0.0,49.0,96.0,15.0
167,2019-06-17,16.0,162.0,20.0,11.0,60.0,42.0,2.0,1.0,0.0,0.0,39.0,60.0,14.0
168,2019-06-18,12.0,141.0,15.0,19.0,58.0,33.0,6.0,5.0,0.0,0.0,48.0,43.0,15.0
169,2019-06-19,8.0,130.0,8.0,13.0,60.0,28.0,7.0,4.0,2.0,0.0,39.0,47.0,13.0
170,2019-06-20,7.0,143.0,13.0,18.0,70.0,43.0,12.0,13.0,0.0,0.0,46.0,33.0,15.0
171,2019-06-21,6.0,235.0,24.0,17.0,69.0,65.0,16.0,19.0,1.0,0.0,65.0,69.0,16.0
172,2019-06-22,11.0,262.0,64.0,52.0,48.0,82.0,15.0,5.0,9.0,0.0,48.0,124.0,13.0
173,2019-06-23,10.0,230.0,30.0,25.0,55.0,45.0,0.0,4.0,16.0,0.0,43.0,78.0,14.0
174,2019-06-24,12.0,172.0,12.0,7.0,66.0,55.0,12.0,6.0,3.0,0.0,58.0,63.0,14.0
175,2019-06-25,13.0,124.0,9.0,16.0,77.0,18.0,9.0,1.0,2.0,4.0,50.0,49.0,14.0
176,2019-06-26,12.0,168.0,14.0,13.0,67.0,78.0,12.0,0.0,7.0,1.0,31.0,60.0,14.0
177,2019-06-27,17.0,136.0,21.0,25.0,71.0,35.0,4.0,13.0,4.0,6.0,27.0,77.0,14.0
178,2019-06-28,15.0,230.0,24.0,16.0,104.0,71.0,6.0,3.0,10.0,3.0,42.0,92.0,14.0
179,2019-06-29,11.0,264.0,47.0,20.0,57.0,31.0,3.0,3.0,2.0,3.0,50.0,72.0,13.0
180,2019-06-30,12.0,310.0,49.0,31.0,54.0,91.0,2.0,7.0,17.0,3.0,41.0,108.0,15.0
